testcase-name,enum-status,norm-status,enum-time,norm-time,enum-calls,norm-calls
hd-01-d1-prog.sl,TestStatus.ok,TestStatus.timeout,9.099167539010523,0,5,0
hd-02-d1-prog.sl,TestStatus.ok,TestStatus.timeout,8.326921265994315,0,5,0
hd-03-d1-prog.sl,TestStatus.ok,TestStatus.timeout,1.1951014020014554,0,5,0
hd-04-d1-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-05-d1-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-06-d1-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-07-d1-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-08-d1-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-09-d1-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-13-d1-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-14-d1-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-15-d1-prog.sl,TestStatus.timeout,TestStatuhd-13-d1-prog.sl,TestStatus.ok,TestStatus.timeout,268.4947846290015,0,7,0
hd-14-d1-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
,0,0,0
hd-20-d1-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-01-d2-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-01-d4-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-02-d4-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-03-d4-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-04-d4-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-05-d4-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-06-d4-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-07-d4-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-08-d4-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-01-d5-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-02-d5-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-03-d5-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-04-d5-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-05-d5-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-06-d5-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-07-d5-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-08-d5-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-09-d5-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-13-d5-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-14-d5-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-15-d5-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-17-d5-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-19-d5-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
hd-20-d5-prog.sl,TestStatus.timeout,TestStatus.timeout,0,0,0,0
