testcase-name,enum-status,norm-status,enum-time,norm-time,enum-calls,norm-calls,enum-examined,norm-examined
hd-03-d1-prog.sl,0.0,0.0,0.20346020439756102,0.11738857498858124,5.0,5.0,92.0,38.0
hd-01-d1-prog.sl,0.0,0.0,1.022199006594019,0.3556816757947672,5.0,5.0,602.0,178.0
hd-04-d1-prog.sl,0.0,0.0,0.7162846466060728,0.46029257600312123,4.0,4.0,599.0,306.0
hd-05-d1-prog.sl,0.0,0.0,1.5400409605994354,1.0095983872073702,5.0,5.0,882.0,490.0
hd-02-d1-prog.sl,0.0,0.0,0.7312271667935419,0.46845144320395776,5.0,5.0,379.0,205.0
hd-03-d4-prog.sl,0.0,0.0,0.857215316791553,0.4214841602020897,5.0,5.0,514.0,203.0
hd-04-d4-prog.sl,0.0,0.0,0.26765337120741606,0.16109709640149958,3.0,3.0,323.0,123.0
hd-06-d1-prog.sl,0.0,0.0,1.34710543739493,1.0920108115999028,5.0,5.0,720.0,516.0
hd-07-d1-prog.sl,0.0,0.0,12.032950879598502,1.4950719377957284,6.0,6.0,5084.0,629.0
hd-08-d1-prog.sl,0.0,0.0,0.3956460769928526,0.19967623900156467,4.0,4.0,312.0,117.0
hd-01-d4-prog.sl,0.0,0.0,5.910050264804158,7.198735865211347,6.0,5.0,3156.0,3682.0
hd-05-d4-prog.sl,0.0,0.0,5.364739889203338,6.818182832404273,6.0,6.0,2598.0,2811.0
hd-06-d4-prog.sl,0.0,0.0,5.5731870404037185,6.222640693210996,6.0,6.0,2831.0,2937.0
hd-03-d5-prog.sl,0.0,0.0,1.1342964675975964,0.6154970125993714,5.0,5.0,682.0,305.0
hd-04-d5-prog.sl,0.0,0.0,0.49037205780041404,0.3335404962010216,3.0,3.0,626.0,300.0
hd-02-d4-prog.sl,0.0,0.0,8.796586651395774,15.254740644805134,6.0,6.0,4344.0,6717.0
hd-01-d5-prog.sl,0.0,0.0,10.147186243598117,27.99514422780485,6.0,6.0,5239.0,12532.0
hd-05-d5-prog.sl,0.0,0.0,10.097004003194161,19.133547443401767,6.0,6.0,4709.0,7741.0
hd-06-d5-prog.sl,0.0,0.0,10.832366920198547,22.01741584559786,6.0,6.0,4805.0,8088.0
hd-02-d5-prog.sl,0.0,0.0,16.313221061992227,53.660372872196604,6.0,6.0,7637.0,20163.0
hd-09-d5-prog.sl,0.0,0.0,86.80367923720624,1.4633570525969843,7.0,6.0,30150.0,642.0
hd-07-d4-prog.sl,0.0,0.0,186.9815484758059,19.01051370620844,7.0,7.0,59849.0,6568.0
hd-08-d4-prog.sl,0.0,0.0,4.741661878401646,6.333185100601986,5.0,5.0,2974.0,3585.0
